Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
1	F8	68	23	7	b	b	b	a	two	2	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0
1	F9	69	23	7	c	b	b	a	two	2	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	N	N	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0
1	F10	70	24	7	a	b	b	b	two	2	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
1	F11	71	24	7	b	b	b	b	two	2	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
1	F12	72	24	7	c	b	b	b	two	2	N	N	N	N	N	Y	N	Y	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0
1	G1	73	25	7	a	b	b	b	two	2	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0
1	G2	74	25	7	b	b	b	b	two	2	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0
1	G3	75	25	7	c	b	b	b	two	2	N	N	N	N	N	N	Y	N	N	N	N	N	N	Y	N	N	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0
1	G4	76	26	7	a	b	b	a	four	4	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0.25
1	G5	77	26	7	b	b	b	a	four	4	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0.25
1	G6	78	26	7	c	b	b	a	four	4	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	N	Y	0	0	0	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0.25
1	G7	79	27	7	a	b	b	b	four	4	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0
1	G8	80	27	7	b	b	b	b	four	4	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0
1	G9	81	27	7	c	b	b	b	four	4	N	N	N	N	N	Y	Y	Y	N	N	N	N	N	Y	N	N	0	0	0	0	0	0.25	0.25	0.25	0	0	0	0	0	0.25	0	0
1	G10	82	28	7	a	b	b	c	eight	8	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	0	0	0	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0.125
1	G11	83	28	7	b	b	b	c	eight	8	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	0	0	0	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0.125
1	G12	84	28	7	c	b	b	c	eight	8	N	N	N	N	N	Y	Y	Y	Y	Y	Y	N	N	Y	N	Y	0	0	0	0	0	0.125	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0	0.125
1	H1	85	29	7	a	c	a	a	two	2	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0
1	H2	86	29	7	b	c	a	a	two	2	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0
1	H3	87	29	7	c	c	a	a	two	2	N	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0
1	H4	88	30	7	a	c	a	a	two	2	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0
1	H5	89	30	7	b	c	a	a	two	2	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0
1	H6	90	30	7	c	c	a	a	two	2	N	N	N	N	N	N	N	Y	N	N	N	N	Y	N	N	N	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0
1	H7	91	31	7	a	c	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
1	H8	92	31	7	b	c	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
1	H9	93	31	7	c	c	a	b	two	2	N	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
1	H10	94	32	7	a	c	a	b	two	2	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1	H11	95	32	7	b	c	a	b	two	2	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0
1	H12	96	empty	8	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	A1	97	33	7	a	c	a	a	four	4	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0	0
2	A2	98	33	7	b	c	a	a	four	4	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0	0
2	A3	99	33	7	c	c	a	a	four	4	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	0	0	0	0	0	0	0	0.25	0.25	0	0	0	0.25	0.25	0	0
2	A4	100	34	7	a	c	a	b	four	4	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
2	A5	101	34	7	b	c	a	b	four	4	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
2	A6	102	34	7	c	c	a	b	four	4	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	0.25	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.25
