Plate	Well	medium	dilution_day	rep	OD	tournament	tree	level	how_many	n_C_sources	C1	C2	C3	C4	C5	C6	C7	C8	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	monosaccharide	disaccaride	organic_acid	alcool	polisaccharide	proline	C_F_G_P
2	A3	33	7	c	0.081549998	c	a	a	four	4	proline	fumaric_acid	citric_acid	glycerol	NA	NA	NA	NA	N	N	N	N	N	N	N	Y	Y	N	N	N	Y	Y	N	N	N	N	Y	Y	N	Y	Y
2	A4	34	7	a	0.086749997	c	a	b	four	4	starch	fructose	cellulose	glucose	NA	NA	NA	NA	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y	N	N
2	A5	34	7	b	0.0999	c	a	b	four	4	starch	fructose	cellulose	glucose	NA	NA	NA	NA	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y	N	N
2	A6	34	7	c	0.0759	c	a	b	four	4	starch	fructose	cellulose	glucose	NA	NA	NA	NA	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	Y	Y	N	N	N	Y	N	N
2	A7	35	7	a	0.083700001	c	a	c	eight	8	proline	fumaric_acid	citric_acid	glycerol	starch	fructose	cellulose	glucose	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	Y
2	A8	35	7	b	0.090849999	c	a	c	eight	8	proline	fumaric_acid	citric_acid	glycerol	starch	fructose	cellulose	glucose	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	Y
2	A9	35	7	c	0.081900001	c	a	c	eight	8	proline	fumaric_acid	citric_acid	glycerol	starch	fructose	cellulose	glucose	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	Y
2	A10	36	7	a	0.095850002	c	b	a	two	2	sucrose	maltose	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N
2	A11	36	7	b	0.100650001	c	b	a	two	2	sucrose	maltose	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N
2	A12	36	7	c	0.088299997	c	b	a	two	2	sucrose	maltose	NA	NA	NA	NA	NA	NA	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N
2	B1	37	7	a	0.087200001	c	b	a	two	2	galacturonic_acid	cellobiose	NA	NA	NA	NA	NA	NA	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
2	B2	37	7	b	0.090799998	c	b	a	two	2	galacturonic_acid	cellobiose	NA	NA	NA	NA	NA	NA	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
2	B3	37	7	c	0.083500002	c	b	a	two	2	galacturonic_acid	cellobiose	NA	NA	NA	NA	NA	NA	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	N	Y	Y	N	N	N	Y
2	B4	38	7	a	0.0854	c	b	b	two	2	mannose	xylose	NA	NA	NA	NA	NA	NA	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N
2	B5	38	7	b	0.093500003	c	b	b	two	2	mannose	xylose	NA	NA	NA	NA	NA	NA	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	Y	N	N	N	N	N	N
